시군구,거래횟수,거래금액(만원)
광주광역시 광산구 도산동,831,15313.884476534296
광주광역시 광산구 도천동,327,9290.688073394496
광주광역시 광산구 비아동,342,9921.473684210527
광주광역시 광산구 산월동,1113,27292.027852650495
광주광역시 광산구 산정동,977,30049.969293756396
광주광역시 광산구 선암동,589,34698.5857385399
광주광역시 광산구 소촌동,1021,15705.499510284035
광주광역시 광산구 송정동,934,15462.743040685225
광주광역시 광산구 수완동,1053,63584.40740740741
광주광역시 광산구 신가동,1807,37352.17487548423
광주광역시 광산구 신창동,2384,25793.789429530203
광주광역시 광산구 신촌동,164,15508.109756097561
광주광역시 광산구 쌍암동,694,36869.42363112392
광주광역시 광산구 우산동,2120,16463.074528301888
광주광역시 광산구 운남동,2607,17254.523206751055
광주광역시 광산구 운수동,36,9605.555555555555
광주광역시 광산구 월계동,2059,23656.709567751335
광주광역시 광산구 월곡동,1526,17324.086500655307
광주광역시 광산구 장덕동,1685,47425.98753709199
광주광역시 광산구 하남동,527,29177.115749525616
광주광역시 광산구 흑석동,299,38612.04682274247
광주광역시 남구 노대동,327,38199.327217125385
광주광역시 남구 방림동,939,24395.73482428115
광주광역시 남구 백운동,872,27259.408256880735
광주광역시 남구 봉선동,3052,44756.5871559633
광주광역시 남구 사동,20,9020.0
광주광역시 남구 서동,137,28652.116788321167
광주광역시 남구 송하동,389,19917.807197943446
광주광역시 남구 압촌동,14,33207.142857142855
광주광역시 남구 양림동,131,34485.114503816796
광주광역시 남구 월산동,395,21662.607594936708
광주광역시 남구 임암동,466,52072.63948497854
광주광역시 남구 주월동,1474,24276.54409769335
광주광역시 남구 지석동,157,28994.36305732484
광주광역시 남구 진월동,2138,22814.565014031807
광주광역시 남구 행암동,729,39269.44170096022
광주광역시 동구 계림동,1266,33137.70221169036
광주광역시 동구 금남로2가,3,19400.0
광주광역시 동구 금남로3가,10,10650.0
광주광역시 동구 금남로5가,31,6969.032258064516
광주광역시 동구 대인동,2,19000.0
광주광역시 동구 동명동,1,13500.0
광주광역시 동구 산수동,831,28832.13598074609
광주광역시 동구 소태동,504,29783.130952380954
광주광역시 동구 수기동,36,10775.0
광주광역시 동구 용산동,421,35184.32304038005
광주광역시 동구 운림동,293,23017.378839590445
광주광역시 동구 월남동,243,26873.8683127572
광주광역시 동구 지산동,209,22475.598086124402
광주광역시 동구 충장로4가,74,10593.756756756757
광주광역시 동구 학동,990,39576.36363636364
광주광역시 북구 각화동,1272,31024.51965408805
광주광역시 북구 동림동,1920,19055.0078125
광주광역시 북구 두암동,1715,12746.943440233235
광주광역시 북구 매곡동,1152,17511.671006944445
광주광역시 북구 문흥동,3099,13978.92223297838
광주광역시 북구 본촌동,527,41154.573055028464
광주광역시 북구 북동,92,20095.108695652172
광주광역시 북구 삼각동,892,19621.171524663678
광주광역시 북구 신안동,247,12925.263157894737
광주광역시 북구 신용동,2072,35728.34942084942
광주광역시 북구 양산동,1532,16424.96279373368
광주광역시 북구 연제동,1207,24818.133388566694
광주광역시 북구 오치동,1164,12127.156357388316
광주광역시 북구 용두동,742,30677.288409703506
광주광역시 북구 용봉동,2010,23578.471641791046
광주광역시 북구 우산동,193,19276.269430051812
광주광역시 북구 운암동,2922,26571.261464750172
광주광역시 북구 유동,29,39883.75862068965
광주광역시 북구 일곡동,2735,16809.215722120658
광주광역시 북구 임동,624,17949.94551282051
광주광역시 북구 중흥동,349,24970.601719197708
광주광역시 북구 풍향동,261,45404.444444444445
광주광역시 서구 광천동,399,51828.47368421053
광주광역시 서구 금호동,3140,26239.83121019108
광주광역시 서구 내방동,605,15598.01652892562
광주광역시 서구 농성동,474,32703.664556962027
광주광역시 서구 동천동,729,43318.98491083676
광주광역시 서구 마륵동,216,51812.601851851854
광주광역시 서구 쌍촌동,2016,27295.56349206349
광주광역시 서구 양동,399,21293.659147869676
광주광역시 서구 유촌동,650,18311.215384615385
광주광역시 서구 치평동,2030,32353.93645320197
광주광역시 서구 풍암동,2642,24704.432248296744
광주광역시 서구 화정동,3249,30917.604493690367
